skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Montessoriskolan i Falun,57444890,Falun,2080,Kommunal,Falun,2120002221,20,.,"70,0","30,0",.,.,.,.,20,"40,0","50,0","10,0",.,.,.,.,2018
Svärdsjöskolan 7-9,27506076,Falun,2080,Kommunal,Falun,2120002221,73,"6,8","43,8","49,3",.,.,.,.,71,"11,3","66,2","22,5",.,.,.,.,2018
Söderbaumska skolan,72625090,Falun,2080,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,52,"5,8","67,3","26,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Ferlinskolan,76981284,Filipstad,1782,Kommunal,Filipstad,2120001876,68,"7,4","76,5","16,2",.,.,.,.,78,.,"78,2","21,8",.,.,.,.,2018
Stålvallaskolan,37648787,Filipstad,1782,Kommunal,Filipstad,2120001876,16,"6,3","62,5","31,3",.,.,.,.,17,"5,9","76,5","17,6",.,.,.,.,2018
Grosvadskolan Syd,40732962,Finspång,0562,Kommunal,Finspång,2120000423,.,.,.,.,.,.,.,.,95,"8,4","63,2","28,4",.,.,.,.,2018
Nyhemsskolan 7-9,65487720,Finspång,0562,Kommunal,Finspång,2120000423,88,"39,8","48,9","11,4",.,.,.,.,100,"34,0","60,0","6,0",.,.,.,.,2018
Europaskolan Malma,38215460,Flen,0482,Enskild,Europaskolan Grundskola AB,5567480511,31,"3,2","41,9","54,8",.,.,.,.,29,"6,9","72,4","20,7",.,.,.,.,2018
Stenhammarskolan 7-9,81546814,Flen,0482,Kommunal,Flen,2120000332,63,"1,6","46,0","52,4",.,.,.,.,95,"24,2","55,8","20,0",34,"8,8","38,2","52,9",2018
Dejeskolan H-stadiet,48228294,Forshaga,1763,Kommunal,Forshaga,2120001819,33,"15,2","54,5","30,3",.,.,.,.,33,"15,2","81,8","3,0",.,.,.,.,2018
Forshaga lärcenter H-stadiet,68533503,Forshaga,1763,Kommunal,Forshaga,2120001819,88,"3,4","64,8","31,8",.,.,.,.,93,"16,1","73,1","10,8",.,.,.,.,2018
Valboskolan 7-9,17089857,Färgelanda,1439,Kommunal,Färgelanda,2120001421,54,"14,8","68,5","16,7",.,.,.,.,58,"24,1","70,7","5,2",.,.,.,.,2018
Djuråsskolan F-9,36819574,Gagnef,2026,Kommunal,Gagnef,2120002155,46,"30,4","63,0","6,5",.,.,.,.,46,"26,1","71,7","2,2",.,.,.,.,2018
Mockfjärdsskolan,95610127,Gagnef,2026,Kommunal,Gagnef,2120002155,33,"15,2","66,7","18,2",.,.,.,.,40,"2,5","85,0","12,5",.,.,.,.,2018
Lundåkerskolan,47236914,Gislaved,0662,Kommunal,Gislaved,2120000514,83,"18,1","54,2","27,7",.,.,.,.,.,.,.,.,40,"2,5","50,0","47,5",2018
Nordinskolan,40991541,Gislaved,0662,Kommunal,Gislaved,2120000514,69,"15,9","59,4","24,6",.,.,.,.,81,"28,4","63,0","8,6",.,.,.,.,2018
Åsenskolan,70954223,Gislaved,0662,Kommunal,Gislaved,2120000514,67,"20,9","47,8","31,3",.,.,.,.,78,"17,9","78,2","3,8",20,"10,0","60,0","30,0",2018
Ölmestadskolan,85013151,Gislaved,0662,Kommunal,Gislaved,2120000514,30,"10,0","70,0","20,0",.,.,.,.,34,"20,6","55,9","23,5",.,.,.,.,2018
Frejaskolan 7-9,71986467,Gnesta,0461,Kommunal,Gnesta,2120002965,95,"8,4","73,7","17,9",.,.,.,.,90,"6,7","74,4","18,9",.,.,.,.,2018
Bäckaskolan 7-9,43172419,Gnosjö,0617,Kommunal,Gnosjö,2120000506,53,"30,2","37,7","32,1",.,.,.,.,72,"20,8","72,2","6,9",21,"9,5","71,4","19,0",2018
Hillerstorpsskolan 7-9,33877675,Gnosjö,0617,Kommunal,Gnosjö,2120000506,31,"9,7","67,7","22,6",.,.,.,.,39,"23,1","76,9",.,.,.,.,.,2018
Atheneskolan,52229866,Gotland,0980,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,35,"14,3","54,3","31,4",.,.,.,.,39,"15,4","79,5","5,1",.,.,.,.,2018
Fårösundsskolan,68188627,Gotland,0980,Kommunal,Gotland,2120000803,19,.,"78,9","21,1",.,.,.,.,26,.,"80,8","19,2",.,.,.,.,2018
"Guteskolan, grundskola",42518434,Gotland,0980,Enskild,Guteskolan AB,5567044267,24,"12,5","66,7","20,8",.,.,.,.,23,"4,3","82,6","13,0",.,.,.,.,2018
Högbyskolan,94163432,Gotland,0980,Kommunal,Gotland,2120000803,56,"26,8","50,0","23,2",.,.,.,.,60,"13,3","78,3","8,3",.,.,.,.,2018
Klinteskolan,24429776,Gotland,0980,Kommunal,Gotland,2120000803,27,.,"74,1","25,9",.,.,.,.,27,"22,2","66,7","11,1",.,.,.,.,2018
Romaskolan,60700608,Gotland,0980,Kommunal,Gotland,2120000803,39,"17,9","61,5","20,5",.,.,.,.,40,"2,5","92,5","5,0",.,.,.,.,2018
Solbergaskolan,96609581,Gotland,0980,Kommunal,Gotland,2120000803,172,"5,8","75,6","18,6",.,.,.,.,184,"13,0","84,8","2,2",.,.,.,.,2018
Solklintsskolan,10979668,Gotland,0980,Kommunal,Gotland,2120000803,32,"18,8","53,1","28,1",.,.,.,.,34,"2,9","61,8","35,3",.,.,.,.,2018
Södervärnsskolan,80013231,Gotland,0980,Kommunal,Gotland,2120000803,119,"5,0","54,6","40,3",.,.,.,.,125,"9,6","76,8","13,6",.,.,.,.,2018
Jättestenskolan,16891307,Grums,1764,Kommunal,Grums,2120001827,58,"12,1","62,1","25,9",.,.,.,.,65,"15,4","75,4","9,2",.,.,.,.,2018
Centralskolan 4-9,31381375,Grästorp,1444,Kommunal,Grästorp,2120001595,46,"6,5","69,6","23,9",.,.,.,.,50,"4,0","88,0","8,0",.,.,.,.,2018
Gullstensskolan åk 7-9,89624871,Gullspång,1447,Kommunal,Gullspång,2120001637,39,"12,8","74,4","12,8",.,.,.,.,48,"27,1","68,8","4,2",.,.,.,.,2018
Hedskolan LMH,13185131,Gällivare,2523,Kommunal,Gällivare,2120002726,27,"7,4","81,5","11,1",.,.,.,.,25,"28,0","72,0",.,.,.,.,.,2018
Malmens friskola,37140962,Gällivare,2523,Enskild,Malmens Friskola AB,5565528022,20,.,"90,0","10,0",.,.,.,.,20,.,"85,0","15,0",.,.,.,.,2018
Sjöparksskolan LMH,24426745,Gällivare,2523,Kommunal,Gällivare,2120002726,47,"8,5","63,8","27,7",.,.,.,.,44,"4,5","63,6","31,8",.,.,.,.,2018
Tallbackaskolan MH,68699648,Gällivare,2523,Kommunal,Gällivare,2120002726,32,"6,3","65,6","28,1",.,.,.,.,32,"21,9","65,6","12,5",.,.,.,.,2018
Internationella Engelska Skolan Gävle,53952728,Gävle,2180,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,130,"12,3","50,0","37,7",.,.,.,.,169,"17,2","65,1","17,8",.,.,.,.,2018
Kunskapsskolan Gävle,21423670,Gävle,2180,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,50,"8,0","54,0","38,0",.,.,.,.,58,"17,2","67,2","15,5",.,.,.,.,2018
Nynässkolan 7-9,40944032,Gävle,2180,Kommunal,Gävle,2120002338,105,"11,4","49,5","39,0",.,.,.,.,124,"14,5","70,2","15,3",28,"3,6","78,6","17,9",2018
"Prolympia, Gävle",57578095,Gävle,2180,Enskild,Ulno AB,5566577705,94,"9,6","64,9","25,5",.,.,.,.,102,"14,7","81,4","3,9",.,.,.,.,2018
Sofiedalskolan,80177526,Gävle,2180,Kommunal,Gävle,2120002338,27,"7,4","59,3","33,3",.,.,.,.,153,"14,4","71,9","13,7",.,.,.,.,2018
Stigslunds skola,91652716,Gävle,2180,Kommunal,Gävle,2120002338,104,"21,2","67,3","11,5",.,.,.,.,99,"9,1","78,8","12,1",.,.,.,.,2018
Stora Sätraskolan,49779956,Gävle,2180,Kommunal,Gävle,2120002338,37,"2,7","78,4","18,9",.,.,.,.,62,"6,5","79,0","14,5",25,.,"80,0","20,0",2018
Vallbacksskolan,54990077,Gävle,2180,Kommunal,Gävle,2120002338,70,"21,4","54,3","24,3",.,.,.,.,110,"12,7","70,9","16,4",40,"10,0","72,5","17,5",2018
Assaredsskolan,25852980,Göteborg,1480,Enskild,Assareds Skolkooperativ Ek För.,7164451390,.,.,.,.,.,.,.,.,21,"42,9","57,1",.,.,.,.,.,2018
Bergsgårdsskolan 4-9,67687325,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,21,"23,8","66,7","9,5",26,"15,4","42,3","42,3",2018
Bergsjöskolan 7-9,35416997,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,35,"11,4","85,7","2,9",30,"10,0","53,3","36,7",2018
Bergums skola 4-9,98771543,Göteborg,1480,Kommunal,Göteborg,2120001355,65,"9,2","76,9","13,8",.,.,.,.,76,"1,3","96,1","2,6",.,.,.,.,2018
Brandströmska skolan Nylöse,11295861,Göteborg,1480,Enskild,Stiftelsen För Kristen Skolverksamhet,8572054065,.,.,.,.,.,.,.,.,33,"3,0","63,6","33,3",31,"22,6","48,4","29,0",2018
Böskolans friskola,83071620,Göteborg,1480,Enskild,Böskolans Friskola Ek.För.,7164451473,42,"19,0","45,2","35,7",.,.,.,.,42,"38,1","57,1","4,8",.,.,.,.,2018
Centrina Kviberg,17517182,Göteborg,1480,Enskild,Vindseglet AB,5567572234,74,"2,7","66,2","31,1",.,.,.,.,71,"11,3","87,3","1,4",.,.,.,.,2018
Centrina Lindholmen,79866556,Göteborg,1480,Enskild,Vindseglet AB,5567572234,69,"10,1","72,5","17,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Drakbergsskolan,60526603,Göteborg,1480,Enskild,Kannebäcks Friskoleförening,8572069568,24,"4,2","62,5","33,3",.,.,.,.,24,"12,5","79,2","8,3",.,.,.,.,2018
Fenestra Centrum,87139814,Göteborg,1480,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,.,.,.,.,.,.,.,.,63,"6,3","69,8","23,8",.,.,.,.,2018
Fenestra Nya Hovås,21497343,Göteborg,1480,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,.,.,.,.,.,.,.,.,108,"21,3","74,1","4,6",.,.,.,.,2018
Fenestra S:t Jörgen,27265374,Göteborg,1480,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,44,"31,8","52,3","15,9",.,.,.,.,60,"11,7","81,7","6,7",.,.,.,.,2018
Fiskebäcksskolan 6-9,99641533,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,49,"14,3","42,9","42,9",.,.,.,.,2018
Franska skolan Göteborg 6-9,51565567,Göteborg,1480,Enskild,Medborgarskolan Region Väst,8494001913,19,"31,6","63,2","5,3",.,.,.,.,22,"13,6","77,3","9,1",.,.,.,.,2018
Freinetskolan Bild & Form,31872640,Göteborg,1480,Enskild,Bild och Form i Göteborg Aktiebolag,5566666102,18,"27,8","66,7","5,6",.,.,.,.,.,.,.,.,.,.,.,.,2018
Frejaskolan 7-9,51782099,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,41,"9,8","46,3","43,9",.,.,.,.,2018
Fridaskolan Kvillebäcken,56328727,Göteborg,1480,Enskild,Fridaskolorna AB,5564515988,72,"16,7","68,1","15,3",.,.,.,.,71,"15,5","76,1","8,5",.,.,.,.,2018
Frölundaskolan 7-9,97820269,Göteborg,1480,Kommunal,Göteborg,2120001355,42,"4,8","31,0","64,3",.,.,.,.,66,"19,7","63,6","16,7",.,.,.,.,2018
Gamlestadsskolan H,90710178,Göteborg,1480,Kommunal,Göteborg,2120001355,35,"17,1","45,7","37,1",.,.,.,.,62,"24,2","66,1","9,7",33,"21,2","57,6","21,2",2018
Glöstorpsskolan 7-9,85656343,Göteborg,1480,Kommunal,Göteborg,2120001355,42,"11,9","28,6","59,5",.,.,.,.,56,"8,9","67,9","23,2",17,"5,9","58,8","35,3",2018
Guldhedsskolan 7-9,98423378,Göteborg,1480,Kommunal,Göteborg,2120001355,22,"13,6","45,5","40,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Gårdstensskolan 4-9,55886598,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,.,.,.,.,38,"15,8","31,6","52,6",2018
Göteborgs Högre Samskola gr.,52538248,Göteborg,1480,Enskild,Stiftelsen Göteborgs Högre Samskola,8572059197,142,"12,0","69,7","18,3",.,.,.,.,146,"16,4","81,5","2,1",.,.,.,.,2018
Hjällboskolan 6-9,63925456,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,43,"7,0","74,4","18,6",34,.,"79,4","20,6",2018
Hovåsskolan 7-9,32603156,Göteborg,1480,Kommunal,Göteborg,2120001355,69,"7,2","76,8","15,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Internationella Engelska Skolan Johanneberg,41921747,Göteborg,1480,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,.,.,.,.,.,.,.,.,175,"33,1","54,3","12,6",.,.,.,.,2018
ISGR/Swedish-English,80498460,Göteborg,1480,Enskild,Göteborgsregionens Internationella Skola AB,5565275657,50,"12,0","50,0","38,0",.,.,.,.,52,"13,5","67,3","19,2",.,.,.,.,2018
JENSEN grundskola Göteborg,62764006,Göteborg,1480,Enskild,Jensen Education College AB,5566358759,38,"5,3","52,6","42,1",.,.,.,.,55,"12,7","63,6","23,6",18,.,"77,8","22,2",2018
Jättestensskolan 2 F-9,55124975,Göteborg,1480,Kommunal,Göteborg,2120001355,33,"9,1","48,5","42,4",.,.,.,.,45,"2,2","86,7","11,1",.,.,.,.,2018
Katolska skolan av Notre Dame,45045293,Göteborg,1480,Enskild,Stiftelsen Katolska Skolan Av Notre Dame,8572042581,.,.,.,.,.,.,.,.,40,"17,5","67,5","15,0",35,"20,0","71,4","8,6",2018
Klarebergsskolan 7-9,20429308,Göteborg,1480,Kommunal,Göteborg,2120001355,91,.,"68,1","31,9",.,.,.,.,97,"11,3","75,3","13,4",.,.,.,.,2018
Kristinaskolan,46512685,Göteborg,1480,Enskild,Stiftelsen För Kristna Skolor i Angeredområdet,8572042193,.,.,.,.,.,.,.,.,18,.,"66,7","33,3",16,"6,3","56,3","37,5",2018
Kunskapsskolan Krokslätt,83045482,Göteborg,1480,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,50,"6,0","64,0","30,0",.,.,.,.,54,"24,1","70,4","5,6",.,.,.,.,2018
Kålltorpsskolan 4-9,16954837,Göteborg,1480,Kommunal,Göteborg,2120001355,92,"3,3","80,4","16,3",.,.,.,.,104,"7,7","82,7","9,6",.,.,.,.,2018
Kärralundsskolan F-9,14037390,Göteborg,1480,Kommunal,Göteborg,2120001355,75,"9,3","70,7","20,0",.,.,.,.,73,"17,8","72,6","9,6",.,.,.,.,2018
Kärraskolan 4-9 och grundsärskola åk 1-9,85930744,Göteborg,1480,Kommunal,Göteborg,2120001355,55,"7,3","60,0","32,7",.,.,.,.,66,"69,7","30,3",.,.,.,.,.,2018
Lindåsskolan 4-9,61845870,Göteborg,1480,Kommunal,Göteborg,2120001355,48,"4,2","83,3","12,5",.,.,.,.,50,"34,0","44,0","22,0",.,.,.,.,2018
Lundenskolan F-9,37379026,Göteborg,1480,Kommunal,Göteborg,2120001355,57,"5,3","54,4","40,4",.,.,.,.,57,"31,6","66,7","1,8",.,.,.,.,2018
Lövgärdesskolan 4-9,31928894,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,36,"11,1","80,6","8,3",.,.,.,.,2018
Montessoriskolan Casa,76938537,Göteborg,1480,Enskild,Stiftelsen Casa Dei Bambini,8520004261,27,"3,7","77,8","18,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Montessoriskolan Centrum,73995321,Göteborg,1480,Enskild,Stiftelsen Montessoriskolan Centrum,8572066309,26,"3,8","76,9","19,2",.,.,.,.,27,"11,1","85,2","3,7",.,.,.,.,2018
Montessoriskolan Elyseum,46489893,Göteborg,1480,Kommunal,Göteborg,2120001355,15,.,"80,0","20,0",.,.,.,.,15,"20,0","80,0",.,.,.,.,.,2018
Montessoriskolan Skäret,25894254,Göteborg,1480,Enskild,Skäret Skolkooperativ Ek.För.,7164452323,32,"12,5","78,1","9,4",.,.,.,.,32,"12,5","87,5",.,.,.,.,.,2018
Nordhemsskolan 2,32380381,Göteborg,1480,Kommunal,Göteborg,2120001355,158,"14,6","58,9","26,6",.,.,.,.,171,"24,0","63,2","12,9",.,.,.,.,2018
Nygårdsskolan 4-9,65651613,Göteborg,1480,Kommunal,Göteborg,2120001355,38,"10,5","55,3","34,2",.,.,.,.,35,.,"65,7","34,3",.,.,.,.,2018
Prolympia Göteborg,54367867,Göteborg,1480,Enskild,Gothenburg Association AB,5567295851,75,"9,3","49,3","41,3",.,.,.,.,19,"31,6","63,2","5,3",.,.,.,.,2018
Påvelundsskolan 7-9 A,33511119,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,64,"23,4","70,3","6,3",.,.,.,.,2018
Påvelundsskolan 7-9 B,43441529,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,105,"20,0","68,6","11,4",.,.,.,.,2018
Rudolf Steinerskolan Göteborg,42817980,Göteborg,1480,Enskild,Stiftelsen Rudolf Steinerskolan,8572019142,19,"15,8","52,6","31,6",.,.,.,.,18,"16,7","77,8","5,6",.,.,.,.,2018
Ryaskolan 4-9,28890717,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,33,"15,2","45,5","39,4",29,"3,4","51,7","44,8",2018
Römosseskolan,72408586,Göteborg,1480,Enskild,Föreningen Islamiska Skolan i Göteborg,8551021952,.,.,.,.,.,.,.,.,40,.,"95,0","5,0",41,.,"85,4","14,6",2018
Sandeklevsskolan 2,91683255,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,29,"10,3","62,1","27,6",29,.,"44,8","55,2",2018
Sannaskolan 2,42792002,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,83,"27,7","62,7","9,6",.,.,.,.,2018
Sjumilaskolan 7-9,70791331,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,25,"20,0","48,0","32,0",.,.,.,.,2018
Skälltorpsskolan 7-9,21231498,Göteborg,1480,Kommunal,Göteborg,2120001355,65,"26,2","60,0","13,8",.,.,.,.,82,"34,1","54,9","11,0",20,.,"85,0","15,0",2018
Svartedalsskolan B,98179004,Göteborg,1480,Kommunal,Göteborg,2120001355,17,"11,8","70,6","17,6",.,.,.,.,54,"9,3","77,8","13,0",40,"17,5","67,5","15,0",2018
The English School Gothenburg,66890810,Göteborg,1480,Enskild,Stiftelsen English School In Gothenburg,8551009148,.,.,.,.,.,.,.,.,27,"11,1","85,2","3,7",16,"18,8","81,3",.,2018
Toleredsskolan 7-9,27774991,Göteborg,1480,Kommunal,Göteborg,2120001355,75,"12,0","57,3","30,7",.,.,.,.,22,"13,6","81,8","4,5",.,.,.,.,2018
Torslandaskolan 6-9 spår B,88371868,Göteborg,1480,Kommunal,Göteborg,2120001355,165,"18,8","61,2","20,0",.,.,.,.,172,"9,9","68,6","21,5",.,.,.,.,2018
Trulsegårdsskolan B,26152423,Göteborg,1480,Kommunal,Göteborg,2120001355,116,"16,4","62,1","21,6",.,.,.,.,122,"28,7","57,4","13,9",.,.,.,.,2018
Utmarksskolan,39000072,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,53,"15,1","81,1","3,8",42,"4,8","76,2","19,0",2018
Vasaskolan,56168083,Göteborg,1480,Enskild,Stiftelsen För Kristna Skolor,8572027434,43,"14,0","69,8","16,3",.,.,.,.,43,"14,0","83,7","2,3",.,.,.,.,2018
Vetenskapsskolan,71259819,Göteborg,1480,Enskild,Vetenskapsskolan i Göteborg AB,5567716583,23,.,"60,9","39,1",.,.,.,.,23,"8,7","73,9","17,4",.,.,.,.,2018
Victoriaskolan,80678068,Göteborg,1480,Enskild,Tyska Skolan Göteborg Ek. För.,7696043608,44,"22,7","56,8","20,5",.,.,.,.,46,.,"89,1","10,9",.,.,.,.,2018
Vittra Kronhusparken,67543412,Göteborg,1480,Enskild,Vittraskolorna AB,5564586716,34,"23,5","52,9","23,5",.,.,.,.,39,"23,1","71,8","5,1",.,.,.,.,2018
Vättleskolan 4-9,27760036,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,58,"8,6","87,9","3,4",48,"14,6","62,5","22,9",2018
Änglagårdskolan,87427999,Göteborg,1480,Enskild,Gothenburg Association AB,5567295851,59,"5,1","62,7","32,2",.,.,.,.,62,"17,7","67,7","14,5",.,.,.,.,2018
Önneredsskolan 7-9,26855170,Göteborg,1480,Kommunal,Göteborg,2120001355,.,.,.,.,.,.,.,.,98,"22,4","70,4","7,1",.,.,.,.,2018
Liljestensskolan 2,16790280,Götene,1471,Kommunal,Götene,2120001652,132,"9,1","34,8","56,1",.,.,.,.,139,"9,4","69,8","20,9",.,.,.,.,2018
Hagabodaskolan,38553494,Habo,0643,Kommunal,Habo,2120001611,121,"14,0","65,3","20,7",.,.,.,.,126,"19,0","69,8","11,1",.,.,.,.,2018
Kyrkhedens skola 4-9,86113785,Hagfors,1783,Kommunal,Hagfors,2120001884,41,"7,3","68,3","24,4",.,.,.,.,42,.,"85,7","14,3",.,.,.,.,2018
Älvstranden bildn.centrum 7-9,18315553,Hagfors,1783,Kommunal,Hagfors,2120001884,57,"7,0","61,4","31,6",.,.,.,.,58,"6,9","69,0","24,1",.,.,.,.,2018
Folkasboskolan,99707554,Hallsberg,1861,Kommunal,Hallsberg,2120001926,33,.,"66,7","33,3",.,.,.,.,35,"14,3","71,4","14,3",.,.,.,.,2018
Transtenskolan,63503591,Hallsberg,1861,Kommunal,Hallsberg,2120001926,104,"24,0","51,0","25,0",.,.,.,.,102,"4,9","67,6","27,5",.,.,.,.,2018
Parkskolan,91030682,Hallstahammar,1961,Kommunal,Hallstahammar,2120002064,84,"3,6","69,0","27,4",.,.,.,.,112,"10,7","75,9","13,4",26,.,"38,5","61,5",2018
Tunboskolan,32758035,Hallstahammar,1961,Kommunal,Hallstahammar,2120002064,33,"9,1","33,3","57,6",.,.,.,.,36,"8,3","72,2","19,4",.,.,.,.,2018
Brunnsåkersskolan 3,61539121,Halmstad,1380,Kommunal,Halmstad,2120001215,61,"19,7","41,0","39,3",.,.,.,.,77,"15,6","71,4","13,0",16,"6,3","75,0","18,8",2018
Eketånga Montessoriskola,28459364,Halmstad,1380,Enskild,Ideella Föreningen Eketånga Montessoriskola,8492017143,23,"8,7","60,9","30,4",.,.,.,.,23,"8,7","69,6","21,7",.,.,.,.,2018
Engelska Skolan i Halmstad,78323330,Halmstad,1380,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,77,"6,5","44,2","49,4",.,.,.,.,82,"11,0","74,4","14,6",.,.,.,.,2018
Furulundsskolan 1,84189577,Halmstad,1380,Kommunal,Halmstad,2120001215,76,"13,2","69,7","17,1",.,.,.,.,74,"18,9","78,4","2,7",.,.,.,.,2018
Fyllingeskolan 1,65388353,Halmstad,1380,Kommunal,Halmstad,2120001215,22,.,"54,5","45,5",.,.,.,.,34,.,"85,3","14,7",.,.,.,.,2018
Getingeskolan 2,28451136,Halmstad,1380,Kommunal,Halmstad,2120001215,63,"22,2","61,9","15,9",.,.,.,.,67,"17,9","61,2","20,9",.,.,.,.,2018
Gullbrandstorpsskolan 1,74772092,Halmstad,1380,Kommunal,Halmstad,2120001215,45,.,"48,9","51,1",.,.,.,.,47,"17,0","72,3","10,6",.,.,.,.,2018
Stenstorpsskolan 1,52347444,Halmstad,1380,Kommunal,Halmstad,2120001215,33,"3,0","84,8","12,1",.,.,.,.,33,"9,1","81,8","9,1",.,.,.,.,2018
Söndrumskolan 1,18751410,Halmstad,1380,Kommunal,Halmstad,2120001215,66,"3,0","77,3","19,7",.,.,.,.,67,.,"98,5","1,5",.,.,.,.,2018
Söndrumskolan 2,67995611,Halmstad,1380,Kommunal,Halmstad,2120001215,68,"1,5","73,5","25,0",.,.,.,.,72,"5,6","91,7","2,8",.,.,.,.,2018
Trönningeskolan 1,86573921,Halmstad,1380,Kommunal,Halmstad,2120001215,61,"9,8","49,2","41,0",.,.,.,.,59,"6,8","72,9","20,3",.,.,.,.,2018
Vallåsskolan 3,45539695,Halmstad,1380,Kommunal,Halmstad,2120001215,34,"8,8","64,7","26,5",.,.,.,.,37,"5,4","81,1","13,5",.,.,.,.,2018
Vallåsskolan 4,31012040,Halmstad,1380,Kommunal,Halmstad,2120001215,18,"5,6","61,1","33,3",.,.,.,.,19,"10,5","63,2","26,3",.,.,.,.,2018
Wallbergsskolan,42422737,Halmstad,1380,Enskild,Wallbergsskolans Ideella Förening,8492023802,21,"9,5","85,7","4,8",.,.,.,.,.,.,.,.,.,.,.,.,2018
Östergårdsskolan 1,74243509,Halmstad,1380,Kommunal,Halmstad,2120001215,32,.,"68,8","31,3",.,.,.,.,47,"2,1","74,5","23,4",18,"5,6","72,2","22,2",2018
Östergårdsskolan 3,63902508,Halmstad,1380,Kommunal,Halmstad,2120001215,36,"5,6","52,8","41,7",.,.,.,.,73,"12,3","74,0","13,7",34,.,"70,6","29,4",2018
Österledskolan 1,92337813,Halmstad,1380,Kommunal,Halmstad,2120001215,48,"4,2","64,6","31,3",.,.,.,.,50,"6,0","90,0","4,0",.,.,.,.,2018
Österledskolan 2,14732915,Halmstad,1380,Kommunal,Halmstad,2120001215,49,"6,1","69,4","24,5",.,.,.,.,49,"8,2","75,5","16,3",.,.,.,.,2018
Hammarlundens skola 7-9,95243847,Hammarö,1761,Kommunal,Hammarö,2120001793,98,"10,2","70,4","19,4",.,.,.,.,98,"3,1","93,9","3,1",.,.,.,.,2018
Brandbergsskolan,73184968,Haninge,0136,Kommunal,Haninge,2120000084,40,"10,0","45,0","45,0",.,.,.,.,48,.,"64,6","35,4",15,.,"40,0","60,0",2018
Dalarö skola,47640376,Haninge,0136,Kommunal,Haninge,2120000084,.,.,.,.,.,.,.,.,21,"42,9","52,4","4,8",.,.,.,.,2018
Deltaskolan,73926940,Haninge,0136,Enskild,Deltaskolan AB,5568658545,.,.,.,.,.,.,.,.,54,"5,6","70,4","24,1",.,.,.,.,2018
HagaLyckebyskolan,81680693,Haninge,0136,Kommunal,Haninge,2120000084,125,"10,4","62,4","27,2",.,.,.,.,126,"4,8","65,9","29,4",.,.,.,.,2018
Rudanskolan,17957898,Haninge,0136,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,83,"3,6","79,5","16,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Söderbymalmsskolan,10035236,Haninge,0136,Kommunal,Haninge,2120000084,94,"6,4","64,9","28,7",.,.,.,.,120,"13,3","80,0","6,7",17,.,"47,1","52,9",2018
