skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Hersby gymnasium EKSA,71043974,Lidingö,0186,2120000191,Lidingö,Kommunal,"35,4","1,0","34,4","43,9","87,3",.,"15,1","1,0","519,0",2014
Hersby gymnasium NAIM,26734780,Lidingö,0186,2120000191,Lidingö,Kommunal,"23,2",.,"23,2","40,2","87,5",.,"16,0","2,0","186,0",2014
Lunaskolan Östra gymnasium,57777751,Lidingö,0186,5566402672,Stockholms Barn & Ungdomsstöd AB,Enskild,"8,3","1,0","7,3","61,6","95,9",.,"5,6","0,1","410,0",2014
Stillerska filmgymnasiet,38732602,Lidingö,0186,5567777270,Stillerska AB,Enskild,"5,5","1,0","4,5","55,6","80,0",.,"9,3",.,.,2014
"De la Gardiegymnasiet, enhet 1",89807183,Lidköping,1494,2120001694,Lidköping,Kommunal,"27,6","1,0","26,6","40,0","92,5",.,"15,0",.,.,2014
"De la Gardiegymnasiet, enhet 2",86724994,Lidköping,1494,2120001694,Lidköping,Kommunal,"31,8","1,0","30,8","28,1","68,3",.,"10,5",.,.,2014
"De la Gardiegymnasiet, enhet 3",61161774,Lidköping,1494,2120001694,Lidköping,Kommunal,"30,1",.,"30,1","63,1","85,5",.,"17,8",.,.,2014
"De la Gardiegymnasiet, enhet 4",86158933,Lidköping,1494,2120001694,Lidköping,Kommunal,"30,2","1,0","29,2","69,9","86,3","6,2","10,0",.,.,2014
"De la Gardiegymnasiet, enhet 5",39179525,Lidköping,1494,2120001694,Lidköping,Kommunal,"25,8","1,0","24,8","84,9","85,7",.,"13,2",.,.,2014
"De la Gardiegymnasiet, enhet 6",14102256,Lidköping,1494,2120001694,Lidköping,Kommunal,"6,8","1,0","5,8","65,5","65,5",.,"10,9",.,.,2014
Thoren Innovation School Lidköping,69288110,Lidköping,1494,5568902653,Thoren Innovation School AB,Enskild,"5,7","1,0","4,7","31,4","66,7","3,2","8,8","0,1","315,4",2014
Elfhems gymnasium,70660980,Lilla Edet,1462,2120001496,Lilla Edet,Kommunal,"5,1","0,5","4,6","45,7","60,9",.,"5,9","0,1","270,0",2014
Lindeskolan LS 1,75082280,Lindesberg,1885,2120002015,Lindesberg,Kommunal,"16,9","0,5","16,4","53,0","87,4","1,5","9,0","0,4","397,3",2014
Lindeskolan LS 2,75914181,Lindesberg,1885,2120002015,Lindesberg,Kommunal,"30,2","1,0","29,2","19,6","64,4","0,9","9,4","0,4","740,5",2014
Lindeskolan LS 3,39302565,Lindesberg,1885,2120002015,Lindesberg,Kommunal,"22,4","1,0","21,4","25,5","77,5","1,2","7,8","0,4","451,4",2014
Lindeskolan LS 4,96818167,Lindesberg,1885,2120002015,Lindesberg,Kommunal,"24,7","1,0","23,7","63,0","85,7","1,1","10,4","0,4","662,2",2014
Anders Ljungstedts gymnasium 3,18282722,Linköping,0580,2120000449,Linköping,Kommunal,"17,1",.,"17,1","84,2","85,8",.,"13,8","1,0","236,0",2014
Anders Ljungstedts gymnasium 4,61432781,Linköping,0580,2120000449,Linköping,Kommunal,"38,3",.,"38,3","22,9","70,9","5,9","11,7","1,0","450,0",2014
Anders Ljungstedts gymnasium 7,78287294,Linköping,0580,2120000449,Linköping,Kommunal,"37,3",.,"37,3","62,2","80,5","4,3","7,9",.,.,2014
Anders Ljungstedts gymnasium 8,74316305,Linköping,0580,2120000449,Linköping,Kommunal,"27,5",.,"27,5","48,6","85,4","3,6","9,8","2,0","135,0",2014
Berzeliusskolan 1,79527481,Linköping,0580,2120000449,Linköping,Kommunal,"45,3","1,0","44,3","53,7","95,1","4,1","15,3","1,1","615,5",2014
Birgittaskolan 1,99279503,Linköping,0580,2120000449,Linköping,Kommunal,"27,0","1,0","26,0","77,2","92,5","7,7","12,8","0,6","553,3",2014
Birgittaskolan 2,63653488,Linköping,0580,2120000449,Linköping,Kommunal,"16,0","1,0","15,0","58,5","100,0","9,7","5,5",.,.,2014
Björkö Fria Gymnasium,84476205,Linköping,0580,8220027596,Stiftelsen Waldorfpedagogik i Vreta Kloster,Enskild,"14,5","1,0","13,5","41,4","82,7","4,7","11,1","0,2","1 000,0",2014
Folkungaskolan 1,24544503,Linköping,0580,2120000449,Linköping,Kommunal,"24,8","0,3","24,5","54,9","91,3",.,"11,2","0,5","548,0",2014
Folkungaskolan 2,25392789,Linköping,0580,2120000449,Linköping,Kommunal,"27,7","1,3","26,4","67,5","100,0",.,"16,1","0,5","850,0",2014
Framtidsgymnasiet Linköping,72109637,Linköping,0580,5565304481,Framtidsgymnasiet Öst AB,Enskild,"8,0","1,0","7,0","42,9","57,1",.,"12,6",.,.,2014
Fria Läroverken Linköping,69240218,Linköping,0580,5569172041,Fria Läroverken i Sverige AB,Enskild,"27,9","1,0","26,9","54,6","83,8",.,"12,3","0,5","664,0",2014
Hagströmska gymnasiet Linköping,14057258,Linköping,0580,5567550461,Hagströmska gymnasiet AB,Enskild,"9,3","1,0","8,3","33,7","83,1",.,"11,0",.,.,2014
JENSEN Gymnasium Linköping,38460895,Linköping,0580,5566358759,JENSEN education college AB,Enskild,"9,5","0,5","9,0","77,8","68,9",.,"9,4",.,.,2014
Katedralskolan 1,53821161,Linköping,0580,2120000449,Linköping,Kommunal,"32,6","1,0","31,6","52,9","93,9","2,1","16,9","0,4","1 480,6",2014
Katedralskolan 2,31199511,Linköping,0580,2120000449,Linköping,Kommunal,"12,8","1,0","11,8","53,7","94,6","5,4","10,6","0,2","688,9",2014
Katedralskolan 3,12934438,Linköping,0580,2120000449,Linköping,Kommunal,"27,4","0,7","26,7","45,9","99,3","2,6","16,2","0,4","1 200,0",2014
"Mediateknikerutbildningen, MTU",97868185,Linköping,0580,5564631983,"Mediateknikerutbildningen, MTU AB",Enskild,"9,4","1,0","8,4","13,8","50,3",.,"17,2","1,0","144,0",2014
Praktiska Linköping,81551726,Linköping,0580,5562575786,Praktiska Sverige AB,Enskild,"12,6","1,0","11,6","21,6","48,1","5,6","11,5",.,.,2014
Realgymnasiet Linköping,77823650,Linköping,0580,5565715892,Lärande i Sverige AB,Enskild,"11,2","1,5","9,7","40,2","50,5",.,"14,0",.,.,2014
Thoren Business School Linköping,37550979,Linköping,0580,5566139290,ThorenGruppen AB,Enskild,"9,7","1,0","8,7","65,4","100,0",.,"9,9","0,8","107,5",2014
Yrkesgymnasiet Linköping,76195214,Linköping,0580,5566139290,ThorenGruppen AB,Enskild,"16,0","1,0","15,0","58,9","46,5","4,3","14,6","0,5","436,0",2014
Ljungby Fria Gymnasium,54839753,Ljungby,0781,5563604767,Ljungby Fria Gymnasium AB,Enskild,"7,8","1,0","6,8","44,1","35,3",.,"10,3","0,5","140,0",2014
RyssbyGymnasiet,32705515,Ljungby,0781,5566214069,RyssbyGymnasiet AB,Enskild,"29,3","2,0","27,3","38,5","68,3",.,"7,2",.,.,2014
Sunnerbogymnasiet 1,60214465,Ljungby,0781,2120000670,Ljungby,Kommunal,"1,0",.,"1,0",.,.,.,"77,0",.,.,2014
Sunnerbogymnasiet 2,70137084,Ljungby,0781,2120000670,Ljungby,Kommunal,"33,1",.,"33,1","58,0","81,9","6,1","9,6",.,.,2014
Sunnerbogymnasiet 3,82002016,Ljungby,0781,2120000670,Ljungby,Kommunal,"33,4",.,"33,4","38,4","82,0",.,"7,6",.,.,2014
Sunnerbogymnasiet 4,21901328,Ljungby,0781,2120000670,Ljungby,Kommunal,"12,2",.,"12,2","78,6","83,5",.,"14,5",.,.,2014
Slottegymnasiet 1,23306658,Ljusdal,2161,2120002320,Ljusdal,Kommunal,"56,1","1,0","55,1","55,8","70,2","1,5","7,0","3,3","117,6",2014
Slottegymnasiet 2,92965381,Ljusdal,2161,2120002320,Ljusdal,Kommunal,"24,4","1,0","23,4","40,0","70,5",.,"6,2","0,7","197,3",2014
Träutbildningar i Hälsingland,57350392,Ljusdal,2161,5567796718,Träutbildningar i Hälsingland AB,Enskild,"6,9","0,5","6,4","3,9","19,5",.,"7,7","0,1","980,0",2014
ABB Industrigymnasium Ludvika,97535124,Ludvika,2085,5566081740,Industritekniska Gymnasiet Bergslagen AB,Enskild,"5,8","0,5","5,3","41,4","81,2",.,"19,2",.,.,2014
Malmen,92651253,Ludvika,2085,2220000802,Ludvika,Kommunal,"12,7","0,5","12,2","27,0","55,6","4,1","7,6","0,2","465,0",2014
VBU Högbergsskolan 1,11102578,Ludvika,2085,2220000802,Ludvika,Kommunal,"30,9","1,0","29,9","70,0","80,9","3,3","11,0","1,0","327,0",2014
VBU Högbergsskolan 2,69306209,Ludvika,2085,2220000802,Ludvika,Kommunal,"28,7","1,0","27,7","17,6","65,8","1,8","11,5","0,6","530,0",2014
"Luleå gymnasieskola, skolenhet A",31740319,Luleå,2580,2120002742,Luleå,Kommunal,"7,0","0,5","6,5","84,1","100,0","7,6","14,5","0,7","135,7",2014
"Luleå gymnasieskola, skolenhet B",10129345,Luleå,2580,2120002742,Luleå,Kommunal,"26,8","1,0","25,8","70,4","94,3","14,9","15,4","1,0","396,0",2014
"Luleå gymnasieskola, skolenhet C",17944628,Luleå,2580,2120002742,Luleå,Kommunal,"33,8","1,0","32,8","72,3","95,4","3,1","13,1","1,0","430,0",2014
"Luleå gymnasieskola, skolenhet D",82826083,Luleå,2580,2120002742,Luleå,Kommunal,"18,8","1,0","17,8","35,1","86,5","11,2","8,9","2,0","79,0",2014
"Luleå gymnasieskola, skolenhet E",94468610,Luleå,2580,2120002742,Luleå,Kommunal,"27,8","1,0","26,8","59,5","90,2","3,7","9,4","1,0","253,0",2014
"Luleå gymnasieskola, skolenhet F",94090461,Luleå,2580,2120002742,Luleå,Kommunal,"30,1","1,0","29,1","51,3","72,5",.,"6,9",.,.,2014
"Luleå gymnasieskola, skolenhet G",12954099,Luleå,2580,2120002742,Luleå,Kommunal,"21,5","1,0","20,5","49,5","86,4","8,8","15,2","1,0","312,0",2014
"Luleå gymnasieskola, skolenhet H",80931789,Luleå,2580,2120002742,Luleå,Kommunal,"28,2","1,0","27,2","43,7","94,9","3,7","15,6","1,0","424,0",2014
Nordiskt FlygTeknikCentrum,84098842,Luleå,2580,2120002742,Luleå,Kommunal,"10,0","0,3","9,7","43,3","33,0",.,"7,5",.,.,2014
NTI-gymnasiet Luleå,90473340,Luleå,2580,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"12,9","1,0","11,9","41,0","76,4","3,9","12,8",.,.,2014
Praktiska Luleå,26167236,Luleå,2580,5562575786,Praktiska Sverige AB,Enskild,"18,8","1,0","17,8","48,3","43,8",.,"10,5","0,2","935,0",2014
Carl Adolph Agardhgymnasiet,46840166,Lund,1281,8450003481,Stiftelsen Kursverksamheten Vid Lunds Universitet,Enskild,"11,2","1,0","10,2","59,1","65,6",.,"12,0","0,4","305,0",2014
Consensum Lund,69807202,Lund,1281,5566023684,Consensum Lund AB,Enskild,"18,9","0,5","18,4","37,0","64,4",.,"13,8","0,8","317,5",2014
Drottning Blankas Gymn. Lund,64648904,Lund,1281,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,2","0,9","10,3","78,5","62,8","4,9","13,2","0,1","1 360,0",2014
Gymnasieskolan Spyken,75939593,Lund,1281,2120001132,Lund,Kommunal,"79,8","1,0","78,8","57,3","93,4","3,8","13,2","1,8","596,0",2014
Gymnasieskolan Vipan,63035915,Lund,1281,2120001132,Lund,Kommunal,"94,4","0,9","93,5","53,3","93,0","10,9","9,9","4,8","192,7",2014
Humanus Gymnasium Lund,12717584,Lund,1281,5565081188,Humanus Utbildning Syd AB,Enskild,"11,8","1,0","10,8","32,5","57,5",.,"10,3","0,2","555,0",2014
JENSEN Gymnasium Lund,26324896,Lund,1281,5566358759,JENSEN education college AB,Enskild,"13,3","1,0","12,3","61,0","65,9",.,"14,6",.,.,2014
Katedralskolan,56639389,Lund,1281,2120001132,Lund,Kommunal,"98,2","1,0","97,2","56,3","93,1","1,8","14,4","4,0","350,5",2014
Lars-Erik Larssongymnasiet,95700485,Lund,1281,8465021015,Lars-Erik Larsson Gymnasiet,Enskild,"14,1","1,0","13,1","44,5","79,0","2,3","10,0","0,1","1 310,0",2014
LBS Ljud & Bildskolan Lund,51449748,Lund,1281,5564851649,Ljud & Bildskolan LBS AB,Enskild,"22,4","1,0","21,4","38,3","58,9",.,"17,6",.,.,2014
Lunds Dans- o Musikalgymnasium,28267726,Lund,1281,5566981766,Dans O Musikal i Lund AB,Enskild,"17,1","1,0","16,1","80,1","64,6",.,"11,2","0,2","905,0",2014
Lunds Fordonstekniska Gymn.,28848709,Lund,1281,5566426630,Lunds Fordonstekniska Gymnasium AB,Enskild,"5,5","1,0","4,5","13,7","27,2","1,8","14,4","0,3","213,3",2014
"Mikael Elias Gymnasium, Lund",17779637,Lund,1281,5565583282,Mikael Elias Gymnasium AB,Enskild,"4,5","1,0","3,5","49,3","95,7",.,"24,3",.,.,2014
NTI-gymnasiet Lund,12613085,Lund,1281,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"12,3","1,0","11,3","36,1","70,7","7,1","14,6",.,.,2014
Polhemskolan,53896162,Lund,1281,2120001132,Lund,Kommunal,"152,9","1,0","151,9","59,3","94,4","1,3","15,1","4,3","541,2",2014
Realgymnasiet 2 i Lund,13002601,Lund,1281,5565715892,Lärande i Sverige AB,Enskild,"11,0","0,7","10,3","66,0","63,1",.,"8,3","0,2","566,7",2014
Realgymnasiet i Lund,11185244,Lund,1281,5565715892,Lärande i Sverige AB,Enskild,"5,8","0,3","5,4","76,5","52,2",.,"13,1","0,1","1 420,0",2014
Thoren Innovation School Lund,66824652,Lund,1281,5568902653,Thoren Innovation School AB,Enskild,"11,0","1,0","10,0","20,1","90,5",.,"12,4","0,2","615,0",2014
Tannbergsskolan 1,49168016,Lycksele,2481,2120002635,Lycksele,Kommunal,"27,1",.,"27,1","17,6","59,1",.,"7,2","1,0","206,3",2014
Tannbergsskolan 2,32042066,Lycksele,2481,2120002635,Lycksele,Kommunal,"33,6","1,0","32,6","38,3","65,9","7,3","5,7","0,7","264,3",2014
Tannbergsskolan 3,50821167,Lycksele,2481,2120002635,Lycksele,Kommunal,"21,5","0,8","20,7","74,1","85,5","5,7","6,3",.,.,2014
Tannbergsskolan 4,71929526,Lycksele,2481,2120002635,Lycksele,Kommunal,"17,6","1,0","16,6","46,2","69,9",.,"6,4","0,5","214,0",2014
Tannbergsskolan 5,96588511,Lycksele,2481,2120002635,Lycksele,Kommunal,"0,4","0,4",.,.,.,.,.,"0,5",.,2014
Gullmarsgymnasiet 1,92814975,Lysekil,1484,2120001389,Lysekil,Kommunal,"11,3","0,6","10,7","60,3","52,3","7,0","13,7","1,0","147,0",2014
Gullmarsgymnasiet 2,60873719,Lysekil,1484,2120001389,Lysekil,Kommunal,"17,6","0,7","16,9","57,3","97,6",.,"11,0",.,.,2014
Gullmarsgymnasiet 3,29706369,Lysekil,1484,2120001389,Lysekil,Kommunal,"31,6","1,0","30,6","42,0","93,8",.,"8,8",.,.,2014
4 ans Gymnasium,28085125,Malmö,1280,5567622682,4ans Gymnasium AB,Enskild,"6,5","0,4","6,1","24,8","39,8",.,"10,4",.,.,2014
Agnesfridsgymnasiet Ro 1,33169989,Malmö,1280,2120001124,Malmö,Kommunal,"16,3","0,7","15,6","30,1","72,9","5,8","5,7","0,4","220,0",2014
Agnesfridsgymnasiet Ro 2,76295948,Malmö,1280,2120001124,Malmö,Kommunal,"9,7","0,6","9,1","26,4","83,6","11,0","11,2","0,4","255,0",2014
Bellevue gymnasium,86483208,Malmö,1280,2120001124,Malmö,Kommunal,"14,9","1,0","13,9","40,8","76,9","14,4","8,4","1,0","117,0",2014
Bladins gymnasium,21938183,Malmö,1280,8460010948,"Bladins Skola, Stiftelsen",Enskild,"17,0","0,7","16,3","57,4","72,1",.,"13,2",.,.,2014
Bladins Intern School of Malmö,78986228,Malmö,1280,8460010948,"Bladins Skola, Stiftelsen",Enskild,"6,3","0,1","6,2","41,4","20,3",.,"3,6",.,.,2014
Bryggeriets Gymnasium,71472793,Malmö,1280,8465017070,"Bryggeriets Bildnings Byrå ,Bbb,",Enskild,"13,7","1,0","12,7","15,8","62,5",.,"11,9","0,2","755,0",2014
Byggymnasiet Ro 1,64123241,Malmö,1280,2120001124,Malmö,Kommunal,"21,6","1,0","20,6","38,8","75,7","4,9","9,2","1,0","190,0",2014
Byggymnasiet Ro 2,47318972,Malmö,1280,2120001124,Malmö,Kommunal,"5,2","0,4","4,8","58,3","100,0","20,8",.,.,.,2014
Cybergymnasiet Malmö,69063711,Malmö,1280,5565693289,Cybergymnasiet Malmö AB,Enskild,"25,6","1,0","24,6","46,3","87,7",.,"13,9",.,.,2014
Drottning Blankas Gymn. Malmö,35894996,Malmö,1280,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"18,6","1,0","17,6","71,0","57,4","3,4","15,3","0,2","1 345,0",2014
Einar Hansengymnasiet,12926770,Malmö,1280,8450003481,Stiftelsen Kursverksamheten Vid Lunds Universitet,Enskild,"9,1","1,0","8,1","64,2","57,7",.,"13,8","0,3","373,3",2014
Framtidsgymnasiet Burlöv/Malmö,17119840,Malmö,1280,5565755500,Framtidsgymnasiet i Sverige AB,Enskild,"23,3","1,0","22,3","30,6","39,6","8,1","8,4","1,0","188,0",2014
Fria Läroverken Malmö,68748767,Malmö,1280,5569172041,Fria Läroverken i Sverige AB,Enskild,"27,3","1,0","26,3","48,6","63,0","2,3","11,8","0,6","516,7",2014
Hermods Gymnasium Malmö,23548714,Malmö,1280,5560440017,Hermods AB,Enskild,"13,5","1,0","12,5","54,2","75,9",.,"17,9",.,.,2014
JENSEN Gymnasium Malmö,48593439,Malmö,1280,5566358759,JENSEN education college AB,Enskild,"13,6","1,0","12,6","71,7","90,4",.,"15,9","0,2","995,0",2014
Kunskapsgymnasiet Malmö,91773491,Malmö,1280,5565661815,Kunskapsskolan i Sverige AB,Enskild,"16,2","1,0","15,2","42,0","73,6",.,"15,5","0,2","1 180,0",2014
Malmö Borgarskola Ro 1,30361243,Malmö,1280,2120001124,Malmö,Kommunal,"24,7","1,0","23,7","38,1","90,3","2,7","17,3","1,0","410,0",2014
Malmö Borgarskola Ro 2,42123195,Malmö,1280,2120001124,Malmö,Kommunal,"28,3","1,0","27,3","56,6","86,4","3,7","9,3","1,0","253,0",2014
Malmö Borgarskola Ro 3,13533663,Malmö,1280,2120001124,Malmö,Kommunal,"31,0","1,0","30,0","44,7","96,0",.,"19,4","0,8","725,0",2014
Malmö Borgarskola Ro 4,24476550,Malmö,1280,2120001124,Malmö,Kommunal,"35,1","1,0","34,1","56,4","85,3",.,"9,5",.,.,2014
Malmö Latinskola Ro 1,65722876,Malmö,1280,2120001124,Malmö,Kommunal,"30,7","1,0","29,7","64,5","86,9","5,0","11,8","2,0","175,0",2014
Malmö Latinskola Ro 2,40610473,Malmö,1280,2120001124,Malmö,Kommunal,"45,9","1,0","44,9","46,5","80,2","2,2","8,5",.,.,2014
Malmö Latinskola Ro 3,15244697,Malmö,1280,2120001124,Malmö,Kommunal,"17,6","0,7","16,9","70,4","94,1","5,9","10,6",.,.,2014
NTI-gymnasiet Malmö,52129378,Malmö,1280,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"19,6","1,0","18,6","32,3","61,0","5,4","12,0","0,3","746,7",2014
Pauliskolan Ro 1,65381163,Malmö,1280,2120001124,Malmö,Kommunal,"21,2","1,0","20,2","36,7","100,0",.,"35,3","1,0","711,0",2014
Pauliskolan Ro 2,67614811,Malmö,1280,2120001124,Malmö,Kommunal,"10,4","1,0","9,4","70,8","98,6","10,6","0,1",.,.,2014
Pauliskolan Ro 3,58623845,Malmö,1280,2120001124,Malmö,Kommunal,"18,5","1,0","17,5","53,4","90,9",.,"0,6","1,0","10,0",2014
Peabskolan Malmö,98541468,Malmö,1280,5564427432,Peabskolan AB,Enskild,"8,1","0,5","7,6","27,6","50,0",.,"12,9",.,.,2014
Plusgymnasiet Malmö,31155312,Malmö,1280,5565789129,Plusgymnasiet AB,Enskild,"16,8","1,0","15,8","56,8","68,3","6,3","16,1",.,.,2014
Praktiska Malmö City,25648215,Malmö,1280,5562575786,Praktiska Sverige AB,Enskild,"19,7","1,0","18,7","61,8","67,9",.,"12,7",.,.,2014
Praktiska Malmö Limhamn,61823258,Malmö,1280,5562575786,Praktiska Sverige AB,Enskild,"12,6","1,0","11,6","49,2","63,5",.,"11,0",.,.,2014
"ProCivitas Privata Gymnasium, Malmö",84424083,Malmö,1280,5566157102,ProCivitas Privata Gymnasium AB,Enskild,"25,5","1,0","24,5","44,0","80,4",.,"24,2","1,3","456,2",2014
Realgymnasiet Malmö,39178171,Malmö,1280,5565715892,Lärande i Sverige AB,Enskild,"10,2","1,0","9,2","78,3","61,9","6,5","10,9",.,.,2014
Rytmus Malmö,49231191,Malmö,1280,5564648979,Rytmus AB,Enskild,"13,5","1,0","12,5","37,4","96,0",.,"10,0","0,1","1 785,7",2014
Snitz Gymnasium Malmö,25160697,Malmö,1280,5565042255,PPS Power Planning System AB,Enskild,"1,5","0,3","1,2","53,9","91,3","26,1","7,0","0,3","26,7",2014
S:t Petri skola,78231062,Malmö,1280,2120001124,Malmö,Kommunal,"56,0","1,0","55,0","69,4","95,3","3,6","16,0","1,5","588,0",2014
Thoren Business School Malmö,10481541,Malmö,1280,5566139290,ThorenGruppen AB,Enskild,"24,5","1,0","23,5","60,1","87,3","2,8","19,5","0,5","920,0",2014
Universitetsholmens gymnasium Ro 1,68006362,Malmö,1280,2120001124,Malmö,Kommunal,"19,5","1,0","18,5","17,3","72,9","2,7","13,7","0,5","506,0",2014
Universitetsholmens gymnasium Ro2,72113341,Malmö,1280,2120001124,Malmö,Kommunal,"14,8","1,0","13,8","74,5","85,5","10,9","15,4","0,5","424,0",2014
Värnhemsskolan Ro 1,11608031,Malmö,1280,2120001124,Malmö,Kommunal,"20,9",.,"20,9","85,6","73,0","4,8","7,2","0,5","300,0",2014
Värnhemsskolan Ro 2,14569013,Malmö,1280,2120001124,Malmö,Kommunal,"23,7","0,7","23,0","48,8","86,5","2,8","6,7","0,5","306,0",2014
Värnhemsskolan Ro 3,92313496,Malmö,1280,2120001124,Malmö,Kommunal,"25,4",.,"25,4","65,7","93,3","6,5","9,8",.,.,2014
Värnhemsskolan Ro 4,88387058,Malmö,1280,2120001124,Malmö,Kommunal,"25,6",.,"25,6","57,4","86,7","3,9","10,0",.,.,2014
Värnhemsskolan Ro 5,41543853,Malmö,1280,2120001124,Malmö,Kommunal,"22,0","0,5","21,5","59,3","87,0","11,9","5,7","0,4","348,6",2014
Värnhemsskolan Ro 6,72677850,Malmö,1280,2120001124,Malmö,Kommunal,"24,0","1,0","23,0","78,3","95,7","4,3","9,3",.,.,2014
Yrkesgymnasiet Malmö,86762103,Malmö,1280,5566139290,ThorenGruppen AB,Enskild,"11,5","1,0","10,5","21,9","63,3","6,2","12,3","0,3","430,0",2014
Malung-Sälens gymnasieskola,68381790,Malung-Sälen,2023,2120002148,Malung-Sälen,Kommunal,"46,2","1,0","45,2","33,4","50,9","2,2","7,2","1,4","230,7",2014
Malå gymnasieskola,73138140,Malå,2418,2120002866,Malå,Kommunal,"1,6","0,4","1,2","32,8","95,9",.,"8,2",.,.,2014
Vadsbogymnasiet,13006857,Mariestad,1493,2120001686,Mariestad,Kommunal,"71,6","1,0","70,6","48,2","71,0","1,4","10,4","1,5","489,3",2014
Vänergymnasiet,76007769,Mariestad,1493,5566269014,Vänergymnasiet AB,Enskild,"14,4","1,0","13,4","49,4","52,4","7,5","8,8","0,5","234,0",2014
Marks gymnasieskola sekt. nord,39734083,Mark,1463,2120001504,Mark,Kommunal,"12,1","0,4","11,7","84,5","91,4","3,4",.,"0,4",.,2014
Marks gymnasieskola sekt. väst,64858669,Mark,1463,2120001504,Mark,Kommunal,"26,9","1,0","25,9","8,7","78,8",.,"22,0","0,3","1 673,5",2014
Marks gymnasieskola sektor syd,86320340,Mark,1463,2120001504,Mark,Kommunal,"21,7","1,0","20,7","52,8","83,1",.,"0,1","0,3","9,1",2014
Marks gymnasieskola sektor öst,26721724,Mark,1463,2120001504,Mark,Kommunal,"25,4","1,0","24,4","55,5","95,9","1,6","11,3","0,3","833,3",2014
Kunskapscentrum Markaryd gymn.,58187973,Markaryd,0767,2120000654,Markaryd,Kommunal,"23,5","0,5","23,0","49,2","79,3",.,"9,7","0,8","278,8",2014
Dahlstiernska gymnasiet,88894245,Mellerud,1461,2120001488,Mellerud,Kommunal,"19,3","0,5","18,8","42,8","78,7","4,0","8,4","0,6","261,7",2014
Mjölby gymnasium 1,31870541,Mjölby,0586,2120000480,Mjölby,Kommunal,"25,5","1,0","24,5","44,2","97,0","3,1","13,1","0,8","426,7",2014
Mjölby gymnasium 2,71160225,Mjölby,0586,2120000480,Mjölby,Kommunal,"11,1","1,0","10,1","71,9","100,0","1,0","9,0",.,.,2014
Mjölby gymnasium 4,67752682,Mjölby,0586,2120000480,Mjölby,Kommunal,"13,3","1,0","12,3","16,2","66,4","0,5","8,2","1,0","101,0",2014
Mjölby gymnasium 5,47884009,Mjölby,0586,2120000480,Mjölby,Kommunal,"14,4","1,0","13,4","25,5","74,3",.,"9,9",.,.,2014
"S:t Mikaels-skolan, ro 1",44672598,Mora,2062,2120002213,Mora,Kommunal,"36,1","1,0","35,1","52,1","79,6","2,5","9,8","1,3","275,2",2014
"S:t Mikaels-skolan, ro 2",75340089,Mora,2062,2120002213,Mora,Kommunal,"46,1","1,0","45,1","45,1","75,8","2,5","7,5","1,5","226,0",2014
"S:t Mikaels-skolan, ro 4",29700879,Mora,2062,2120002213,Mora,Kommunal,"18,9","0,8","18,1","74,8","88,7","4,1","7,2","1,4","96,3",2014
Carlsund utbildningscentrum 1,36670439,Motala,0583,2120002817,Motala,Kommunal,"19,6","1,0","18,6","32,5","89,2",.,"11,8","0,4","507,0",2014
Carlsund utbildningscentrum 2,22220001,Motala,0583,2120002817,Motala,Kommunal,"15,8","1,0","14,8","45,1","79,7",.,"13,5","0,4","462,8",2014
Carlsund utbildningscentrum IM,15644006,Motala,0583,2120002817,Motala,Kommunal,"11,8",.,"11,8","66,3","91,5",.,"11,9","0,1","1 000,0",2014
LBS Ljud & Bildskolan Motala,76204099,Motala,0583,5564851649,Ljud & Bildskolan LBS AB,Enskild,"9,5","1,0","8,5","31,2","38,2","4,7","13,1","0,2","740,0",2014
Platengymnasiet 1,31822012,Motala,0583,2120002817,Motala,Kommunal,"21,3","1,0","20,3","63,5","85,2",.,"15,0",.,.,2014
Platengymnasiet 2,83161201,Motala,0583,2120002817,Motala,Kommunal,"26,6","1,0","25,6","49,1","80,5",.,"10,9",.,.,2014
Lärlingsgymnasiet i Håby,15100079,Munkedal,1430,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"5,8","0,3","5,5","25,5","61,8",.,"5,8","0,5","64,0",2014
Processtekniska Gymnasiet,55421481,Munkedal,1430,2120001330,Munkedal,Kommunal,"3,0","0,1","2,9","75,4","64,9","5,3","8,4","0,2","120,0",2014
Ungdomsgymnasiet,58583587,Munkedal,1430,2120001330,Munkedal,Kommunal,"4,4","0,2","4,2","78,6","81,0","16,7","11,9","0,1","500,0",2014
